Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,ciphertext_bytes
308,1764562636.6491587,0.019640627,0.000045024,0.000444792,0.000035526,0.000220627,512
309,1764562636.6753426,0.023786326,0.000055322,0.000457937,0.000032720,0.000218894,512
310,1764562636.706402,0.027819398,0.000086971,0.000461322,0.000033943,0.000236677,512
311,1764562636.7423067,0.033285857,0.000054270,0.000445543,0.000034734,0.000223032,512
312,1764562636.7599328,0.015305989,0.000047178,0.000470759,0.000034264,0.000226208,512
313,1764562636.7920866,0.029737301,0.000046937,0.000455541,0.000034263,0.000226839,512
314,1764562636.818627,0.023869490,0.000053038,0.000444041,0.000033862,0.000220778,512
315,1764562636.842082,0.020797425,0.000055343,0.000455382,0.000036568,0.000229945,512
316,1764562636.8860192,0.041084957,0.000051395,0.000453027,0.000039663,0.000239373,512
317,1764562636.9228728,0.034171293,0.000060892,0.000441295,0.000039974,0.000226799,512
318,1764562636.9383037,0.012726382,0.000058147,0.000449089,0.000034113,0.000233291,512
