Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
0,1764562564.6322927,server_rsa_keygen,0.023671224,0.00,84.10,42201088,42291200,
228,1764562633.6681428,rsa_handshake,0.000433571|0.000069668,0.00,0.00,43696128,43696128,512
229,1764562633.753139,rsa_handshake,0.000480658|0.000070901,0.00,0.00,43696128,43696128,512
230,1764562633.800637,rsa_handshake,0.000262175|0.000043230,0.00,0.00,43696128,43696128,512
231,1764562633.8415425,rsa_handshake,0.000460300|0.000077734,0.00,0.00,43696128,43696128,512
232,1764562633.9079578,rsa_handshake,0.000444231|0.000069398,0.00,0.00,43696128,43696128,512
233,1764562633.9228082,rsa_handshake,0.000412462|0.000082372,0.00,0.00,43696128,43696128,512
234,1764562634.006493,rsa_handshake,0.000232299|0.000035485,0.00,0.00,43696128,43696128,512
235,1764562634.0303333,rsa_handshake,0.000225436|0.000033593,0.00,0.00,43696128,43696128,512
236,1764562634.067591,rsa_handshake,0.000277022|0.000061042,0.00,0.00,43696128,43696128,512
237,1764562634.081057,rsa_handshake,0.000216330|0.000034724,0.00,0.00,43696128,43696128,512
238,1764562634.1041923,rsa_handshake,0.000211480|0.000032259,0.00,0.00,43696128,43696128,512
239,1764562634.1361787,rsa_handshake,0.000228872|0.000036758,0.00,3080.70,43696128,43696128,512
240,1764562634.1572967,rsa_handshake,0.000216059|0.000032029,0.00,0.00,43696128,43696128,512
241,1764562634.2372234,rsa_handshake,0.000230816|0.000035135,0.00,0.00,43696128,43696128,512
242,1764562634.2663536,rsa_handshake,0.000231437|0.000034504,0.00,0.00,43696128,43696128,512
243,1764562634.3038454,rsa_handshake,0.000249752|0.000038741,0.00,0.00,43696128,43696128,512
244,1764562634.3202739,rsa_handshake,0.000219826|0.000033552,0.00,0.00,43696128,43696128,512
245,1764562634.414016,rsa_handshake,0.000245654|0.000039593,0.00,0.00,43696128,43696128,512
246,1764562634.440257,rsa_handshake,0.000238971|0.000037279,0.00,0.00,43696128,43696128,512
247,1764562634.4590223,rsa_handshake,0.000241285|0.000036657,0.00,0.00,43696128,43696128,512
